id	title	authors_short	authors_full	year	journal	volume	issue	pages	url	doi
28116836	Concurrent infection of Bluetongue and Peste-des-petits-ruminants virus in small ruminants in Haryana State of India.	Maan et al.	S. Maan, A. Kumar, A. K. Gupta, A. Dalal, D. Chaudhary, T. K. Gupta, N. Bansal, V. Kumar, K. Batra, N. Sindhu, A. Kumar, N. K. Mahajan, N. S. Maan and P. P. C. Mertens	2018	Transbound Emerg Dis	65	1	235-239		https://doi.org/10.1111/tbed.12610
27597166	Emergence of a Novel Bluetongue Virus Serotype, China 2014.	Sun et al.	E. C. Sun, L. P. Huang, Q. Y. Xu, H. X. Wang, X. M. Xue, P. Lu, W. J. Li, W. Liu, Z. G. Bu and D. L. Wu	2016	Transbound Emerg Dis	63	6	585-589		https://doi.org/10.1111/tbed.12560
27241307	Isolation of Bluetongue Virus 24 from India - An Exotic Serotype to Australasia.	Krishnajyothi et al.	Y. Krishnajyothi, S. Maan, K. Kandimalla, N. S. Maan, R. B. Tutika, Y. V. Reddy, A. Kumar, N. Mrunalini, G. H. Reddy, K. Putty, S. M. Ahmed, Y. N. Reddy, D. Hemadri, K. P. Singh, P. P. Mertens, N. R. Hegde and P. P. Rao	2016	Transbound Emerg Dis	63	4	360-4		https://doi.org/10.1111/tbed.12512
27171751	Detection and isolation of Bluetongue virus from commercial vaccine batches.	Bumbarov et al.	V. Bumbarov, N. Golender, O. Erster and Y. Khinich	2016	Vaccine	34	28	3317-23		https://doi.org/10.1016/j.vaccine.2016.03.097
27081120	Complete Genome Sequence of Bluetongue Virus Serotype 8, Which Reemerged in France in August 2015.	Bréard et al.	E. Bréard, C. Sailleau, H. Quenault, P. Lucas, C. Viarouge, F. Touzain, A. Fablet, D. Vitour, H. Attoui, S. Zientara and Y. Blanchard	2016	Genome Announc	4	2			https://doi.org/10.1128/genomeA.00163-16
26932578	Bluetongue virus surveillance in the Islamic Republic of Mauritania: Is serotype 26 circulating among cattle and dromedaries?	Lorusso et al.	A. Lorusso, D. Baba, M. Spedicato, L. Teodori, B. Bonfini, M. Marcacci, A. Di Provvido, K. Isselmou, V. Marini, I. Carmine, M. Scacchia, D. Di Sabatino, A. Petrini, B. A. Bezeid and G. Savini	2016	Infect. Genet. Evol.	40		109-112		https://doi.org/10.1016/j.meegid.2016.02.036
26865326	Phylogenetic Characterization Genome Segment 2 of Bluetongue Virus Strains Belonging to Serotypes 5, 7 and 24 Isolated for the First Time in China During 2012 to 2014.	Yang et al.	H. Yang, L. Xiao, J. Wang, J. Meng, M. Lv, D. Liao, J. Song, L. Gao, H. Xiong, Y. He, B. Niu, X. Chuang and H. Li	2017	Transbound Emerg Dis	64	4	1317-1321		https://doi.org/10.1111/tbed.12479
26780892	Sequence analysis and evaluation of the NS3/A gene region of bluetongue virus isolates from South Africa.	Steyn et al.	J. Steyn and E. H. Venter	2016	Arch. Virol.	161	4	947-57		https://doi.org/10.1007/s00705-015-2741-3
26768893	Epidemiological characteristics and clinicopathological features of bluetongue in sheep and cattle, during the 2014 BTV serotype 4 incursion in Greece.	Katsoulos et al.	P. D. Katsoulos, N. D. Giadinis, S. C. Chaintoutis, C. I. Dovas, E. Kiossis, G. Tsousis, V. Psychas, I. Vlemmas, T. Papadopoulos, O. Papadopoulos, S. Zientara, H. Karatzias and C. Boscos	2016	Trop Anim Health Prod	48	3	469-77		https://doi.org/10.1007/s11250-015-0974-5
26497176	Complete genome sequence of the first bluetongue virus serotype 7 isolate from China: evidence for entry of African-lineage strains and reassortment between the introduced and native strains.	Yang et al.	H. Yang, M. Lv, M. Sun, L. Lin, M. Kou, L. Gao, D. Liao, H. Xiong, Y. He and H. Li	2016	Arch. Virol.	161	1	223-7		https://doi.org/10.1007/s00705-015-2624-7
26318174	A coiled-coil motif in non-structural protein 3 (NS3) of bluetongue virus forms an oligomer.	Chacko et al.	N. Chacko, N. N. Mohanty, S. K. Biswas, K. Chand, R. Yogisharadhya, A. B. Pandey, B. Mondal and S. B. Shivachandra	2015	Virus Genes	51	2	244-51		https://doi.org/10.1007/s11262-015-1230-9
26252219	Widespread Reassortment Shapes the Evolution and Epidemiology of Bluetongue Virus following European Invasion.	Nomikou et al.	K. Nomikou, J. Hughes, R. Wash, P. Kellam, E. Breard, S. Zientara, M. Palmarini, R. Biek and P. Mertens	2015	PLoS Pathog.	11	8	e1005056		https://doi.org/10.1371/journal.ppat.1005056
26121128	Full-Genome Sequencing as a Basis for Molecular Epidemiology Studies of Bluetongue Virus in India.	Maan et al.	S. Maan, N. S. Maan, M. N. Belaganahalli, P. P. Rao, K. P. Singh, D. Hemadri, K. Putty, A. Kumar, K. Batra, Y. Krishnajyothi, B. S. Chandel, G. H. Reddy, K. Nomikou, Y. N. Reddy, H. Attoui, N. R. Hegde and P. P. Mertens	2015	PLoS ONE	10	6	e0131257		https://doi.org/10.1371/journal.pone.0131257
26069226	Whole genome sequence analysis of circulating Bluetongue virus serotype 11 strains from the United States including two domestic canine isolates.	Gaudreault et al.	N. N. Gaudreault, D. C. Jasperson, E. J. Dubovi, D. J. Johnson, E. N. Ostlund and W. C. Wilson	2015	J. Vet. Diagn. Invest.	27	4	442-8		https://doi.org/10.1177/1040638715585156
25858823	Genome Sequence of Bluetongue Virus Type 2 from India: Evidence for Reassortment between Outer Capsid Protein Genes.	Maan et al.	S. Maan, N. S. Maan, M. N. Belaganahalli, A. Kumar, K. Batra, P. P. Rao, D. Hemadri, Y. N. Reddy, K. Putty, Y. Krishnajyothi, G. H. Reddy, K. P. Singh, N. R. Hegde, K. Nomikou, D. Sreenivasulu and P. P. Mertens	2015	Genome Announc	3	2			https://doi.org/10.1128/genomeA.00045-15
25847695	Emergence of multireassortant bluetongue virus serotype 4 in Hungary.	Hornyák et al.	Á. Hornyák, P. Malik, S. Marton, R. Dóró, D. Cadar and K. Bányai	2015	Infect. Genet. Evol.	33		6-10		https://doi.org/10.1016/j.meegid.2015.03.036
25767218	Complete coding genome sequence of putative novel bluetongue virus serotype 27.	Jenckel et al.	M. Jenckel, E. Bréard, C. Schulz, C. Sailleau, C. Viarouge, B. Hoffmann, D. Höper, M. Beer and S. Zientara	2015	Genome Announc	3	2			https://doi.org/10.1128/genomeA.00016-15
25703157	Segment-2 sequencing and cross-neutralization studies confirm existence of a neutralization resistant VP2 phenotypic variant of bluetongue virus serotype 1 in India.	Biswas et al.	S. K. Biswas, K. Chand, W. Rehman, Y. N. Reddy and B. Mondal	2015	Vet. Microbiol.	176	3-4	358-64		https://doi.org/10.1016/j.vetmic.2015.01.023
25343975	Analysis of murine B-cell epitopes on bluetongue virus 12 nonstructural protein 1.	HaiXiu et al.	W. HaiXiu, S. EnCheng, X. QingYuan, Y. Tao, Z. Qin, F. YuFei, L. JunPing, L. Shuang, S. Liang, S. Jing and W. DongLai	2015	Appl. Microbiol. Biotechnol.	99	3	1309-21		https://doi.org/10.1007/s00253-014-6150-4
25307940	Pathogenicity study in sheep using reverse-genetics-based reassortant bluetongue viruses.	Celma et al.	C. C. Celma, B. Bhattacharya, M. Eschbaumer, K. Wernike, M. Beer and P. Roy	2014	Vet. Microbiol.	174	1-2	139-47		https://doi.org/10.1016/j.vetmic.2014.09.012
25301282	Identification of bluetongue virus and epizootic hemorrhagic disease virus serotypes in French Guiana in 2011 and 2012.	Viarouge et al.	C. Viarouge, R. Lancelot, G. Rives, E. Bréard, M. Miller, X. Baudrimont, V. Doceul, D. Vitour, S. Zientara and C. Sailleau	2014	Vet. Microbiol.	174	1-2	78-85		https://doi.org/10.1016/j.vetmic.2014.09.006
25253345	Evolution of bluetongue virus serotype 1 in northern Australia over 30 years.	Boyle et al.	D. B. Boyle, R. Amos-Ritchie, I. Broz, P. J. Walker, L. Melville, D. Flanagan, S. Davis, N. Hunt and R. Weir	2014	J. Virol.	88	24	13981-9		https://doi.org/10.1128/JVI.02055-14
25239524	Molecular epidemiology of bluetongue virus serotype 1 circulating in Italy and its connection with northern Africa.	Lorusso et al.	A. Lorusso, S. Sghaier, M. Ancora, M. Marcacci, A. Di Gennaro, O. Portanti, I. Mangone, L. Teodori, A. Leone, C. Camma', A. Petrini, S. Hammami and G. Savini	2014	Infect. Genet. Evol.	28		144-9		https://doi.org/10.1016/j.meegid.2014.09.014
24991012	Virus and host factors affecting the clinical outcome of bluetongue virus infection.	Caporale et al.	M. Caporale, L. Di Gialleonorado, A. Janowicz, G. Wilkie, A. Shaw, G. Savini, P. A. Van Rijn, P. Mertens, M. Di Ventura and M. Palmarini	2014	J. Virol.	88	18	10399-411		https://doi.org/10.1128/JVI.01641-14
24980574	Structural constraints in the packaging of bluetongue virus genomic segments.	Burkhardt et al.	C. Burkhardt, P. Y. Sung, C. C. Celma and P. Roy	2014	J. Gen. Virol.	95	10	2240-50		https://doi.org/10.1099/vir.0.066647-0
24916442	Whole genome sequencing and phylogenetic analysis of Bluetongue virus serotype 2 strains isolated in the Americas including a novel strain from the western United States.	Gaudreault et al.	N. N. Gaudreault, C. E. Mayo, D. C. Jasperson, B. M. Crossley, R. E. Breitmeyer, D. J. Johnson, E. N. Ostlund, N. J. MacLachlan and W. C. Wilson	2014	J. Vet. Diagn. Invest.	26	4	553-557		https://doi.org/10.1177/1040638714536902
24886956	Immunisation with bacterial expressed VP2 and VP5 of bluetongue virus (BTV) protect α/β interferon-receptor knock-out (IFNAR(-/-)) mice from homologous lethal challenge.	Mohd Jaafar et al.	F. Mohd Jaafar, M. Belhouchet, D. Vitour, M. Adam, E. Breard, S. Zientara, P. P. Mertens and H. Attoui	2014	Vaccine	32	32	4059-67		https://doi.org/10.1016/j.vaccine.2014.05.056
24750582	Full-Genome Sequencing of Four Bluetongue Virus Serotype 11 Viruses.	Vandenbussche et al.	F. Vandenbussche, C. Sailleau, T. Rosseel, A. Desprat, C. Viarouge, J. Richardson, M. Eschbaumer, B. Hoffmann, K. De Clercq, E. Bréard and S. Zientara	2015	Transbound Emerg Dis	62	5	565-71		https://doi.org/10.1111/tbed.12178
24526649	Complete Genome Sequence of Bluetongue Virus Serotype 1 Circulating in Italy, Obtained through a Fast Next-Generation Sequencing Protocol.	Lorusso et al.	A. Lorusso, M. Marcacci, M. Ancora, I. Mangone, A. Leone, V. Marini, C. Cammà and G. Savini	2014	Genome Announc	2	1			https://doi.org/10.1128/genomeA.00093-14
24330644	Isolation and Complete Genome Sequencing of Bluetongue Virus Serotype 12 from India.	Rao et al.	P. P. Rao, Y. V. Reddy and N. R. Hegde	2015	Transbound Emerg Dis	62	5	e52-9		https://doi.org/10.1111/tbed.12199
24051311	Full genome sequence of a Western reference strain of bluetongue virus serotype 16 from Nigeria.	Mertens et al.	P. P. Mertens, N. S. Maan, M. N. Belaganahalli, K. P. Singh, K. Nomikou and S. Maan	2013	Genome Announc	1	5			https://doi.org/10.1128/genomeA.00684-13
23969049	Complete genome sequence analysis of a reassortant strain of bluetongue virus serotype 16 from Italy.	Lorusso et al.	A. Lorusso, A. Costessi, W. Pirovano, M. Marcacci, C. Cammà and G. Savini	2013	Genome Announc	1	4			https://doi.org/10.1128/genomeA.00622-13
23846265	Full-Genome Sequence of Bluetongue Virus Serotype 1 (BTV-1) Strain Y863, the First BTV-1 Isolate of Eastern Origin Found in China.	Zhu et al.	J. Zhu, H. Yang, H. Li, L. Xiao, J. Wang, N. Li and N. Zhang	2013	Genome Announc	1	4			https://doi.org/10.1128/genomeA.00403-13
23838283	Bluetongue virus serotypes 1 and 4 in Sardinia during autumn 2012: new incursions or re-infection with old strains?	Lorusso et al.	A. Lorusso, S. Sghaier, A. Carvelli, A. Di Gennaro, A. Leone, V. Marini, S. Pelini, M. Marcacci, A. M. Rocchigiani, G. Puggioni and G. Savini	2013	Infect. Genet. Evol.	19		81-7		https://doi.org/10.1016/j.meegid.2013.06.028
23831448	Deep sequencing as a method of typing bluetongue virus isolates.	Rao et al.	P. P. Rao, Y. N. Reddy, K. Ganesh, S. G. Nair, V. Niranjan and N. R. Hegde	2013	J. Virol. Methods	193	2	314-9		https://doi.org/10.1016/j.jviromet.2013.06.033
23750753	Novel serotype of bluetongue virus, western North America.	Maclachlan et al.	N. J. Maclachlan, W. C. Wilson, B. M. Crossley, C. E. Mayo, D. C. Jasperson, R. E. Breitmeyer and A. M. Whiteford	2013	Emerging Infect. Dis.	19	4	665-6		https://doi.org/10.3201/eid1904.120347
23353779	Evidence of genetic reassortment between Indian isolate of bluetongue virus serotype 21 (BTV-21) and bluetongue virus serotype 16 (BTV-16).	Shafiq et al.	M. Shafiq, P. Minakshi, A. Bhateja, K. Ranjan and G. Prasad	2013	Virus Res.	173	2	336-43		https://doi.org/10.1016/j.virusres.2013.01.009
23152367	Phylogenetic analysis of bluetongue virus serotype 4 field isolates from Argentina.	Legisa et al.	D. Legisa, F. Gonzalez, G. De Stefano, A. Pereda and M. J. Dus Santos	2013	J. Gen. Virol.	94	3	652-62		https://doi.org/10.1099/vir.0.046896-0
23118453	Full genome sequence of bluetongue virus serotype 4 from China.	Yang et al.	H. Yang, J. Zhu, H. Li, L. Xiao, J. Wang, N. Li, N. Zhang and P. D. Kirkland	2012	J. Virol.	86	23	13122-3		https://doi.org/10.1128/JVI.02393-12
23097432	Reassortment between two serologically unrelated bluetongue virus strains is flexible and can involve any genome segment.	Shaw et al.	A. E. Shaw, M. Ratinier, S. F. Nunes, K. Nomikou, M. Caporale, M. Golder, K. Allan, C. Hamers, P. Hudelet, S. Zientara, E. Breard, P. Mertens and M. Palmarini	2013	J. Virol.	87	1	543-57		https://doi.org/10.1128/JVI.02266-12
22923810	Complete genome sequence analysis of a reference strain of bluetongue virus serotype 16.	Maan et al.	S. Maan, N. S. Maan, K. P. Singh, M. N. Belaganahalli, M. Guimera, G. Pullinger, K. Nomikou and P. P. Mertens	2012	J. Virol.	86	18	10255-6		https://doi.org/10.1128/JVI.01672-12
22787269	Complete genome sequence of bluetongue virus serotype 16 of goat origin from India.	Minakshi et al.	P. Minakshi, R. Singh, K. Ranjan, P. Kumar, C. G. Joshi, Y. K. Reddy and G. Prasad	2012	J. Virol.	86	15	8337-8		https://doi.org/10.1128/JVI.01128-12
22787266	Complete genome sequence of bluetongue virus serotype 9: implications for serotyping.	Rao et al.	P. P. Rao, Y. N. Reddy and N. R. Hegde	2012	J. Virol.	86	15	8333		https://doi.org/10.1128/JVI.01101-12
22628397	Genome sequence of a reassortant strain of bluetongue virus serotype 23 from western India.	Maan et al.	S. Maan, N. S. Maan, M. Guimera, K. Nomikou, K. P. Singh, G. Pullinger, M. N. Belaganahalli and P. P. Mertens	2012	J. Virol.	86	12	7011-2		https://doi.org/10.1128/JVI.00731-12
22570246	The genome sequence of a reassortant bluetongue virus serotype 3 from India.	Maan et al.	N. S. Maan, S. Maan, M. Guimera, K. Nomikou, E. Morecroft, G. Pullinger, M. N. Belaganahalli and P. P. Mertens	2012	J. Virol.	86	11	6375-6		https://doi.org/10.1128/JVI.00671-12
22532535	The genome sequence of bluetongue virus type 10 from India: evidence for circulation of a western topotype vaccine strain.	Maan et al.	S. Maan, N. S. Maan, G. Pullinger, K. Nomikou, E. Morecroft, M. Guimera, M. N. Belaganahalli and P. P. Mertens	2012	J. Virol.	86	10	5971-2		https://doi.org/10.1128/JVI.00596-12
22532533	The genome sequence of bluetongue virus type 2 from India: evidence for reassortment between eastern and western topotype field strains.	Maan et al.	N. S. Maan, S. Maan, K. Nomikou, M. Guimera, G. Pullinger, K. P. Singh, M. N. Belaganahalli and P. P. Mertens	2012	J. Virol.	86	10	5967-8		https://doi.org/10.1128/JVI.00536-12
22514341	Genomic sequences of Australian bluetongue virus prototype serotypes reveal global relationships and possible routes of entry into Australia.	Boyle et al.	D. B. Boyle, D. M. Bulach, R. Amos-Ritchie, M. M. Adams, P. J. Walker and R. Weir	2012	J. Virol.	86	12	6724-31		https://doi.org/10.1128/JVI.00182-12
22492927	Complete genome sequence of an isolate of bluetongue virus serotype 2, demonstrating circulation of a Western topotype in southern India.	Maan et al.	N. S. Maan, S. Maan, M. Guimera, G. Pullinger, K. P. Singh, K. Nomikou, M. N. Belaganahalli and P. P. Mertens	2012	J. Virol.	86	9	5404-5		https://doi.org/10.1128/JVI.00420-12
22457532	Full genome sequence of bluetongue virus serotype 1 from India.	Maan et al.	N. S. Maan, S. Maan, K. Nomikou, G. Prasad, K. P. Singh, M. N. Belaganahalli and P. P. Mertens	2012	J. Virol.	86	8	4717-8		https://doi.org/10.1128/JVI.00188-12
22422063	Genetic and phylogenetic characterization of genome segments 2 and 6 of bluetongue virus isolates in Japan from 1985 to 2008.	Shirafuji et al.	H. Shirafuji, T. Yanase, T. Kato and M. Yamakawa	2012	J. Gen. Virol.	93	7	1465-73		https://doi.org/10.1099/vir.0.040717-0
22350945	Evidence of bluetongue virus serotype 21 (BTV-21) divergence.	Susmitha et al.	B. Susmitha, D. Sudheer, P. P. Rao, M. Uma, G. Prasad, P. Minakshi, N. R. Hegde and Y. N. Reddy	2012	Virus Genes	44	3	466-9		https://doi.org/10.1007/s11262-012-0724-y
22285887	Protective efficacy of Bluetongue virus-like and subvirus-like particles in sheep: presence of the serotype-specific VP2, independent of its geographic lineage, is essential for protection.	Stewart et al.	M. Stewart, C. I. Dovas, E. Chatzinasiou, T. N. Athmaram, M. Papanastassopoulou, O. Papadopoulos and P. Roy	2012	Vaccine	30	12	2131-9		https://doi.org/10.1016/j.vaccine.2012.01.042
22258368	Genetic characterization of bluetongue virus serotype 9 isolates from India.	Rao et al.	P. P. Rao, Y. V. Reddy, K. Meena, N. Karunasree, B. Susmitha, M. Uma, P. U. Prasad, P. Chaitanya, Y. N. Reddy and N. R. Hegde	2012	Virus Genes	44	2	286-94		https://doi.org/10.1007/s11262-011-0707-4
22241985	Identification and characterization of a novel non-structural protein of bluetongue virus.	Ratinier et al.	M. Ratinier, M. Caporale, M. Golder, G. Franzoni, K. Allan, S. F. Nunes, A. Armezzani, A. Bayoumy, F. Rixon, A. Shaw and M. Palmarini	2011	PLoS Pathog.	7	12	e1002477		https://doi.org/10.1371/journal.ppat.1002477
22205723	Complete genomic sequence of bluetongue virus serotype 1 from China.	Yang et al.	T. Yang, N. Liu, Q. Xu, E. Sun, Y. Qin, J. Zhao, Y. Feng and D. Wu	2012	J. Virol.	86	2	1288-9		https://doi.org/10.1128/JVI.06688-11
22151923	Isolation of bluetongue virus serotype 1 from Culicoides vector captured in livestock farms and sequence analysis of the viral genome segment-2.	Dadawala et al.	A. I. Dadawala, S. K. Biswas, W. Rehman, K. Chand, A. De, B. S. Mathapati, P. Kumar, H. C. Chauhan, B. S. Chandel and B. Mondal	2012	Transbound Emerg Dis	59	4	361-8		https://doi.org/10.1111/j.1865-1682.2011.01279.x
22106384	Complete genomic sequence of bluetongue virus serotype 16 from China.	Yang et al.	T. Yang, N. Liu, Q. Xu, E. Sun, Y. Qin, J. Zhao and D. Wu	2011	J. Virol.	85	24	13472		https://doi.org/10.1128/JVI.06402-11
22032621	Sequences of genes encoding type-specific and group-specific antigens of an Indian isolate of bluetongue virus serotype 10 (BTV-10) and implications for their origin.	Gollapalli et al.	S. R. Gollapalli, S. Mallavarapu, M. Uma, P. P. Rao, B. Susmitha, P. U. Prasad, P. Chaitanya, G. Prasad, N. R. Hegde and Y. N. Reddy	2012	Transbound Emerg Dis	59	2	165-72		https://doi.org/10.1111/j.1865-1682.2011.01266.x
22031822	Complete genome characterisation of a novel 26th bluetongue virus serotype from Kuwait.	Maan et al.	S. Maan, N. S. Maan, K. Nomikou, E. Veronesi, K. Bachanek-Bankowska, M. N. Belaganahalli, H. Attoui and P. P. Mertens	2011	PLoS ONE	6	10	e26147		https://doi.org/10.1371/journal.pone.0026147
22005178	Co-circulation of bluetongue and epizootic haemorrhagic disease viruses in cattle in Reunion Island.	Sailleau et al.	C. Sailleau, G. Zanella, E. Breard, C. Viarouge, A. Desprat, D. Vitour, M. Adam, L. Lasne, A. Martrenchar, L. Bakkali-Kassimi, L. Costes and S. Zientara	2012	Vet. Microbiol.	155	2-4	191-7		https://doi.org/10.1016/j.vetmic.2011.09.006
21865388	Determinants of bluetongue virus virulence in murine models of disease.	Caporale et al.	M. Caporale, R. Wash, A. Pini, G. Savini, P. Franchi, M. Golder, J. Patterson-Kane, P. Mertens, L. Di Gialleonardo, G. Armillotta, R. Lelli, P. Kellam and M. Palmarini	2011	J. Virol.	85	21	11479-89		https://doi.org/10.1128/JVI.05226-11
21795358	Generation of replication-defective virus-based vaccines that confer full protection in sheep against virulent bluetongue virus challenge.	Matsuo et al.	E. Matsuo, C. C. Celma, M. Boyce, C. Viarouge, C. Sailleau, E. Dubois, E. Bréard, R. Thiéry, S. Zientara and P. Roy	2011	J. Virol.	85	19	10213-21		https://doi.org/10.1128/JVI.05412-11
21557978	Contamination in bluetongue virus challenge experiments.	Eschbaumer et al.	M. Eschbaumer, R. Wäckerlin, G. Savini, S. Zientara, C. Sailleau, E. Bréard, M. Beer and B. Hoffmann	2011	Vaccine	29	26	4299-301		https://doi.org/10.1016/j.vaccine.2011.04.049
21529403	Novel bluetongue virus serotype from Kuwait.	Maan et al.	S. Maan, N. S. Maan, K. Nomikou, C. Batten, F. Antony, M. N. Belaganahalli, A. M. Samy, A. A. Reda, S. A. Al-Rashid, M. El Batel, C. A. Oura and P. P. Mertens	2011	Emerging Infect. Dis.	17	5	886-9		https://doi.org/10.3201/eid1705.101742
21450948	Rapid molecular strategy for orbivirus detection and characterization.	Palacios et al.	G. Palacios, C. Cowled, A. V. Bussetti, N. Savji, R. Weir, I. Wick, A. Travassos da Rosa, C. H. Calisher, R. B. Tesh, D. Boyle and W. I. Lipkin	2011	J. Clin. Microbiol.	49	6	2314-7		https://doi.org/10.1128/JCM.00337-11
21187684	Expression and characterization of bluetongue virus serotype 21 VP7 antigen: C-terminal truncated protein has significantly reduced antigenicity.	Hosamani et al.	M. Hosamani, S. Shimizu, J. Hirota, T. Kokuho, T. Kubota, S. Watanabe, M. Ohta, Y. Muneta and S. Inumaru	2011	J. Vet. Med. Sci.	73	5	609-13		
21074232	Molecular epidemiology of bluetongue virus serotype 1 isolated in 2006 from Algeria.	Cêtre-Sossah et al.	C. Cêtre-Sossah, H. Madani, C. Sailleau, K. Nomikou, H. Sadaoui, S. Zientara, S. Maan, N. Maan, P. Mertens and E. Albina	2011	Res. Vet. Sci.	91	3	486-97		https://doi.org/10.1016/j.rvsc.2010.10.002
20855174	Genetic analysis of two Taiwanese bluetongue viruses.	Lee et al.	F. Lee, L. J. Ting, M. S. Lee, W. M. Chang and F. I. Wang	2011	Vet. Microbiol.	148	2-4	140-9		https://doi.org/10.1016/j.vetmic.2010.08.016
20842392	Isolation of bluetongue virus serotype 1 (BTV-1) from goats and its phylogenetic relationship to other BTV-1 isolates worldwide based on full-length sequence of genome segment-2.	Biswas et al.	S. K. Biswas, K. Chand, A. De, L. K. Pandey, J. K. Mohapatra, G. Prasad and B. Mondal	2010	Arch. Virol.	155	12	2041-6		https://doi.org/10.1007/s00705-010-0794-x
20557494	Colostral transmission of bluetongue virus nucleic acid among newborn dairy calves in California.	Mayo et al.	C. E. Mayo, B. M. Crossley, S. K. Hietala, I. A. Gardner, R. E. Breitmeyer and N. J. Maclachlan	2010	Transbound Emerg Dis	57	4	277-81		https://doi.org/10.1111/j.1865-1682.2010.01149.x
20428242	Full genome characterisation of bluetongue virus serotype 6 from the Netherlands 2008 and comparison to other field and vaccine strains.	Maan et al.	S. Maan, N. S. Maan, P. A. van Rijn, R. G. van Gennip, A. Sanders, I. M. Wright, C. Batten, B. Hoffmann, M. Eschbaumer, C. A. Oura, A. C. Potgieter, K. Nomikou and P. P. Mertens	2010	PLoS ONE	5	4	e10323		https://doi.org/10.1371/journal.pone.0010323
