sequence_id	gb_segment_missing	gb_isolate_missing	gb_host_missing	gb_country_missing	gb_collection_year_missing	gb_collection_month_missing	gb_collection_month_day_missing	gb_serotype_missing		
KP821711						NOV	18			
KP821712										
KP821713						AUG	19			
KP821714						OCT				
KP821715						FEB	27			
KP821716						OCT	24			
KP821717										
KP821718										
KP821719						AUG				
KP821720						AUG	24			
KP821721						NOV	2			
KP821722						OCT	29			
KP821723						JUL	9			
KP821724						AUG	19			
KP821725						SEP	17			
KP821726						AUG	18			
KP821727						OCT	2			
KP821728						OCT	5			
KP821729						OCT	15			
KP821730						DEC	31			
KP821731						NOV	16			
KP821732						AUG	2			
KP821733						OCT				
KP821734						JUL	2			
KP821735						JUL	19			
KP821736						JUL	2			
KP821737						JUL	2			
KP821738						SEP	18			
KP821739						SEP	25			
KP821740						SEP	25			
KP821741										
KP821742										
KP821743										
KP821744										
KP821745										
KP821746						APR	16			
KP821747						SEP				
KP821748						JUL	31			
KP821749						SEP	12			
KP821750						SEP	2			
KP821751						FEB	27			
KP821752						JUL	18			
KP821753						JUL	18			
KP821754										
KP821755										
KP821756						DEC	29			
KP821757						DEC	29			
KP821758						JAN	2			
KP821759						JUL	11			
KP821760						OCT				
KP821761						FEB	3			
KP821762						MAR				
KP821763										
KP821764										
KP821765						FEB	12			
KP821766						OCT	20			
KP821767						OCT	20			
KP821768						OCT	20			
KP821769						OCT	21			
KP821770						OCT	21			
KP821771										
KP821772										
KP821773										
KP821774										
KP821775										
KP821776										
KP821777						OCT	15			
KP821778						OCT	3			
KP821779						APR	13			
KP821780						NOV				
KP821781						NOV				
KP821782						NOV				
KP821783						NOV	17			
KP821784						OCT	13			
KP821785						SEP				
KP821786						OCT	28			
KP821787						OCT	28			
KP821788						OCT	28			
KP821789						OCT	29			
KP821790										
KP821791						NOV	17			
KP821792										
KP821793						AUG	10			
KP821794						SEP				
KP821795						OCT	11			
KP821796						NOV	27			
KP821797										
KP821798						AUG	7			
KP821799						JUL				
KP821800										
KP821801						SEP	21			
KP821802						AUG	14			
KP821803						SEP	29			
KP821804						NOV	3			
KP821805						SEP	29			
KP821806						NOV	25			
KP821807						APR	2			
KP821808						SEP	12			
KP821809						AUG	30			
KP821810						SEP				
KP821811						SEP				
KP821812										
KP821813										
KP821814						OCT	7			
KP821815						OCT				
KP821816										
KP821817						JAN				
KP821818						JAN	14			
KP821819						JAN				
KP821820						SEP				
KP821821						AUG				
KP821822						NOV	17			
KP821823										
KP821824						AUG	24			
KP821825						AUG	22			
KP821826						SEP	21			
KP821827										
KP821828										
KP821829						FEB	12			
KP821830						OCT				
KP821831						NOV	18			
KP821832										
KP821833						AUG	19			
KP821834						OCT				
KP821835						FEB	27			
KP821836						FEB	27			
KP821837						OCT	24			
KP821838										
KP821839										
KP821840						AUG				
KP821841						AUG	24			
KP821842						NOV	2			
KP821843						OCT	29			
KP821844						JUL	9			
KP821845						AUG	19			
KP821846						SEP	17			
KP821847						AUG	18			
KP821848						OCT	2			
KP821849						OCT	5			
KP821850						OCT	15			
KP821851						DEC	31			
KP821852						NOV	16			
KP821853						AUG	2			
KP821854						OCT				
KP821855						JUL	2			
KP821856						JUL	19			
KP821857						JUL	2			
KP821858						JUL	2			
KP821859						SEP	18			
KP821860						SEP	25			
KP821861						SEP	25			
KP821862										
KP821863										
KP821864										
KP821865										
KP821866										
KP821867						APR	16			
KP821868						SEP				
KP821869						JUL	31			
KP821870						SEP	12			
KP821871						SEP	2			
KP821872						FEB	27			
KP821873						JUL	18			
KP821874						JUL	18			
KP821875										
KP821876						DEC	29			
KP821877						DEC	29			
KP821878						JAN	2			
KP821879						JUL	11			
KP821880						OCT				
KP821881						FEB	3			
KP821882						MAR				
KP821883										
KP821884										
KP821885						FEB	12			
KP821886						OCT	20			
KP821887						OCT	20			
KP821888						OCT	20			
KP821889						OCT	21			
KP821890						OCT	21			
KP821891										
KP821892										
KP821893										
KP821894										
KP821895										
KP821896										
KP821897						OCT	15			
KP821898						OCT	3			
KP821899						APR	13			
KP821900						NOV				
KP821901						NOV				
KP821902						NOV				
KP821903						NOV	17			
KP821904						OCT	13			
KP821905						SEP				
KP821906						OCT	28			
KP821907						OCT	28			
KP821908						OCT	28			
KP821909						OCT	29			
KP821910										
KP821911						NOV	17			
KP821912										
KP821913						AUG	10			
KP821914						SEP				
KP821915						OCT	11			
KP821916						NOV	27			
KP821917										
KP821918						AUG	7			
KP821919						JUL				
KP821920										
KP821921						SEP	21			
KP821922						AUG	14			
KP821923						SEP	29			
KP821924						NOV	3			
KP821925						SEP	29			
KP821926						NOV	25			
KP821927						APR	2			
KP821928						SEP	12			
KP821929						AUG	30			
KP821930						SEP				
KP821931						SEP				
KP821932										
KP821933										
KP821934						OCT	7			
KP821935						OCT				
KP821936										
KP821937						JAN				
KP821938						JAN	14			
KP821939						JAN				
KP821940						SEP				
KP821941						AUG				
KP821942						AUG	17			
KP821943										
KP821944										
KP821945						AUG	24			
KP821946						AUG	22			
KP821947						SEP	21			
KP821948										
KP821949										
KP821950						FEB	12			
KP821951						OCT				
KP821952						NOV	18			
KP821953										
KP821954						AUG	19			
KP821955						OCT				
KP821956						FEB	27			
KP821957						OCT	24			
KP821958										
KP821959										
KP821960						AUG				
KP821961						AUG	24			
KP821962						NOV	2			
KP821963						OCT	29			
KP821964						JUL	9			
KP821965						AUG	19			
KP821966						SEP	17			
KP821967						AUG	18			
KP821968						OCT	2			
KP821969						OCT	5			
KP821970						OCT	15			
KP821971						DEC	31			
KP821972						NOV	16			
KP821973						AUG	2			
KP821974						OCT				
KP821975						JUL	2			
KP821976						JUL	19			
KP821977						JUL	2			
KP821978						JUL	2			
KP821979						SEP	18			
KP821980						SEP	25			
KP821981						SEP	25			
KP821982										
KP821983										
KP821984										
KP821985										
KP821986										
KP821987						APR	16			
KP821988						SEP				
KP821989						JUL	31			
KP821990						SEP	12			
KP821991						SEP	2			
KP821992						FEB	27			
KP821993						JUL	18			
KP821994						JUL	18			
KP821995										
KP821996										
KP821997						DEC	29			
KP821998						DEC	29			
KP821999						JAN	2			
KP822000						JUL	11			
KP822001						OCT				
KP822002						FEB	3			
KP822003						MAR				
KP822004										
KP822005										
KP822006						FEB	12			
KP822007						OCT	20			
KP822008						OCT	20			
KP822009						OCT	20			
KP822010						OCT	21			
KP822011						OCT	21			
KP822012										
KP822013										
KP822014										
KP822015										
KP822016										
KP822017										
KP822018						OCT	15			
KP822019						OCT	3			
KP822020						APR	13			
KP822021						NOV				
KP822022						NOV				
KP822023						NOV				
KP822024						NOV	17			
KP822025						OCT	13			
KP822026						SEP				
KP822027						OCT	28			
KP822028						OCT	28			
KP822029						OCT	28			
KP822030						OCT	29			
KP822031										
KP822032						NOV	17			
KP822033										
KP822034						APR	10			
KP822035						SEP				
KP822036						OCT	11			
KP822037						NOV	27			
KP822038										
KP822039						APR	7			
KP822040						JUL				
KP822041										
KP822042						SEP	21			
KP822043						AUG	14			
KP822044						SEP	29			
KP822045						NOV	3			
KP822046						SEP	29			
KP822047						NOV	25			
KP822048						APR	2			
KP822049						SEP	12			
KP822050						AUG	30			
KP822051						SEP				
KP822052						SEP				
KP822053										
KP822054										
KP822055						OCT	7			
KP822056						OCT				
KP822057										
KP822058						JAN				
KP822059						JAN	14			
KP822060						JAN				
KP822061						SEP				
KP822062						AUG				
KP822063						NOV	17			
KP822064										
KR233814	2	G244/11								
DQ462580										
DQ462581										
DQ462582										
AF172825	7	Y863	Ovis aries		1986					
AF172826	7	V440	Bos taurus		1996					
AF172827	7	V349	Bos taurus		1996					
AF172828	7	V413	Bos taurus		1996					
AF172829	7	V442	Bos taurus		1996					
AF172830	7	V447	Bos taurus		1996					
AF172831	7	SW	Ovis aries		1988					
DQ521598										
L46685	2			Australia				23		
AB106887		Y-39	Bos taurus	Japan						
AB106888		Fukushima	Bos taurus	Japan						
AB106889		TO 4-3	Ovis aries	Japan						
AB127970	3		Bos taurus		2001					
AB244087	3	OKB1997	Bos taurus					1		
AB244088	3	OKB1999	Bos taurus					1		
AB244089	3	OKB01						1		
AB449021		KB/O1						1		
AB449022		MA16/03						1		
AB449023		FB1/05						1		
AB449024		HT13/05						1		
AB449029		HS19/05						1		
AB449030		IB30/05						3		
AB449031		II9/05						9		
AB449032		KS42/05						4		
AB449033		MA20/05						2		
AB449034		MD10/05						1		
AB449035		MF27/05						2		
AB449036		OA31/05						3		
AB449037		OB29/05						2		
AB449038		ON7/05						7		
AB449039		OY11/05						1		
AB449040		TK2/05						2		
AB449041		US16/05						1		
AB449042		WT10/05						1		
AB449043		YO24/05						2		
AB449044		KT/05						5		
AB449045		MY/05						5		
AB449046		SH/05						5		
AB449047		TC/05						5		
AB449048		TM/05						5		
AB449049		KB/01						1		
AB449050		MA16/03						1		
AB449051		FB1/05						1		
AB449052		KS42/05						4		
AB449053		MF27/05						2		
AB449054		KT/05						5		
AB449055		KB/01						1		
AB449056		MA16/03						1		
AB449057		FB1/05						1		
AB449058		KS42/05						4		
AB449059		KT/05						5		
AB473807		TO4-3								
AB473808		TO4-3								
AB504735		ON-2/C/03						2		
AB504736		ON-2/C/03						2		
AB686213		173	Bos taurus							
AB686214		KY63	Bos taurus							
AB686215		ON89-1	Bos taurus							
AB686216		ON90-2								
AB686217		ON90-4	Bos taurus							
AB686218		TO2-1	Ovis aries							
AB686219		ON-6/B/98	Bos taurus							
AB686220		MZ-1/C/01								
AB686221		KSB-31/C/01								
AB686222		NS-1/E/02	Bos taurus							
AB686223		ON-2/C/03								
AB686224		MZ-1/C/07								
AB686225		KSB-6/C/08				NOV	4			
AB686226		KSB-7/C/08				OCT	31			
AB686227		173	Bos taurus							
AB686228		KY63	Bos taurus							
AB686229		ON89-1	Bos taurus							
AB686230		ON90-2								
AB686231		ON90-4	Bos taurus							
AB686232		TO2-1	Ovis aries							
AB686233		ON-6/B/98	Bos taurus							
AB686234		MZ-1/C/01								
AB686235		KSB-31/C/01								
AB686236		NS-1/E/02	Bos taurus							
AB686237		ON-2/C/03								
AB686238		MZ-1/C/07								
AB686239		KSB-6/C/08								
AB686240		KSB-7/C/08								
AF017278	2	ATCC BLU-17		USA	1962					
AF017279	2	BLU-17 198		USA	1976					
AF017280	3	ATCC BLU-17		USA	1976					
AF017281	3	BLU-17 198		USA	1962					
AF018264	3			Malaysia						
AF044372	10	BTV 10 ATCC	Ovis aries	USA	1953					
AF044373	10	BTV 11 ATCC	Ovis aries	USA	1962					
AF044374	10	BTV 13 ATCC	Bos taurus	USA	1967					
AF044375	10	BTV 17 ATCC	Ovis aries	USA	1962					
AF044376	10	VAC10		USA						
AF044377	10	VAC11		USA						
AF044378	10	VAC17		USA						
AF044379	10	10B80Z	Bos taurus	USA	1980					
AF044380	10	10O80Z	Ovis aries	USA	1980					
AF044381	10	10B81U	Bos taurus	USA	1981					
AF044382	10	10B81X	Bos taurus	USA	1981					
AF044383	10	11B81P	Bos taurus	USA	1981					
AF044384	10	10B90Z	Bos taurus	USA	1990					
AF044385	10	10O90H	Ovis aries	USA	1990					
AF044386	10	11O79X	Ovis aries	USA	1979					
AF044702	10	11B80Z	Bos taurus	USA	1980					
AF044703	10	11C81Z	Capra hircus	USA	1981					
AF044704	10	11O81X	Ovis aries	USA	1981					
AF044705	10	17B80Z	Bos taurus	USA	1980					
AF044706	10	17O79Y	Ovis aries	USA	1979					
AF044707	10	17B81Y	Bos taurus	USA	1981					
AF044708	10	17B90Z	Bos taurus	USA	1990					
AF044709	10	17O90Y	Ovis aries	USA	1990					
AF044710	10	13B89Z	Bos taurus	USA	1989					
AF044711	10	13B80Z	Bos taurus	USA	1980					
AF044712	10	13B81K	Bos taurus	USA	1981					
AF044713	10	13O79Z	Ovis aries	USA	1979					
AF135217	2	Y863	Ovis aries		1986					
AF135218	2	V440	Bos taurus		1996					
AF135219	2	V349	Bos taurus		1996					
AF135220	2	V413	Bos taurus		1996					
AF135221	2	V447	Bos taurus		1996					
AF135222	2	SW	Ovis aries		1988					
AF135223	10	Y863	Ovis aries		1986					
AF135224	10	V440	Bos taurus		1996					
AF135225	10	V349	Bos taurus		1996					
AF135226	10	V413	Bos taurus		1996					
AF135227	10	V442	Bos taurus		1996					
AF135228	10	V447	Bos taurus		1996					
AF135229	10	SW	Ovis aries		1988					
AF135230	10	BTV2 ATCC MD								
AF188644	7			Barbados	1988			3		
AF188645	7			El Salvador	1990			3		
AF188646	7			Honduras	1989			3		
AF188647	7			Trinidad and Tobago	1989			3		
AF188648	7			Jamaica	1988			3		
AF188649	7			South Africa	1977			3		
AF188650	7			Puerto Rico	1990			17		
AF188651	7			Costa Rica	1988			3		
AF188652	7			Trinidad and Tobago	1988			3		
AF188653	7			Honduras	1990			6		
AF188654	7			Panama	1992			3		
AF188655	7			Costa Rica	1992			3		
AF188656	7			Panama	1989			3		
AF188657	7			Panama	1989			3		
AF188658	7			Panama	1991			3		
AF188659	7			Guatemala	1990			3		
AF188660	7			USA	1982			2		
AF188661	7			Jamaica	1989			3		
AF188662	7			Honduras	1990			6		
AF188663	7			Guatemala	1991			3		
AF188664	7			Guatemala	1990			17		
AF188665	7			Puerto Rico	1990			17		
AF188666	7			Puerto Rico	1990			17		
AF188667	7			Dominican Republic	1990			4		
AF188668	7			South Africa	1979			4		
AF188669	7			South Africa	1977			1		
AF188670	7			Honduras	1989			1		
AF188671	7			Dominican Republic	1990			8		
AF188672	7			South Africa	1982			2		
AF188673	7			Jamaica	1988			12		
AF188674	7			USA	1982			2		
AF346302		Corsican strain 2000	Ovis aries		2000					
AF356601	2	Corsican strain 2000	Ovis aries	France	2000					
AF397280			Culicoides sonorensis							
AF397281										
AF397282										
AF397283										
AF397284										
AF397285										
AF397286			Culicoides sonorensis							
AF397287			Culicoides sonorensis							
AF397288			Culicoides sonorensis							
AF397289			Culicoides sonorensis							
AF397290			Culicoides sonorensis							
AF397291			Culicoides sonorensis							
AF397292			Culicoides sonorensis							
AF397293			Culicoides sonorensis							
AF397294			Culicoides sonorensis							
AF397295										
AF403418		62-45S		USA						
AF403419		BTV1SA-ABADRL		South Africa						
AF403420		BTV2_OnaA_S9		USA				2		
AF403421		OnaB		USA						
AF403422		BTV2_SA_S9		USA				2		
AF403423		BTV4SA_S9		USA				4		
AF469114	10	Tunisian strain	Ovis aries							
AF469115	7	Tunisian strain	Ovis aries	Tunisia						
AF481092	10		Ovis aries	France	2000					
AF481093	10		Ovis aries	France	2001					
AF481094	10	Bluetongue vaccine monovalent serotype 2 Ondersterpoort, South Africa								
AF481095	7	Bluetongue vaccine monovalent serotype 2 Ondersterpoort, South Africa								
AF481096	2	Bluetongue vaccine monovalent serotype 2 Ondersterpoort, South Africa								
AF494094	2									
AF512905	10			South Africa	1999					
AF512906	10			South Africa	1999					
AF512907	10			South Africa	1999					
AF512908	10			South Africa	1900					
AF512909	10	S4REF Onderstepoort		South Africa	1900					
AF512910	10			South Africa	1958					
AF512911	10	S1REF		South Africa	1958					
AF512912	10			India	1999					
AF512913	10			India	1999					
AF512914	10			India	1999					
AF512915	10	S18REF								
AF512916	10	S2REF		South Africa	1958					
AF512917	10	S3REF			1944					
AF512918	10			Cyprus	1944					
AF512919	10			South Africa	1937					
AF512920	10			South Africa	1999					
AF512921	10			South Africa	1999					
AF512922	10			South Africa	1944					
AF512923	10	S11REF		South Africa	1944					
AF512924	10	S8REF		South Africa	1937					
AF529044			Bos taurus	Indonesia	1990					
AF529045			Bos taurus	Indonesia	1990					
AF529046			Bos taurus	Indonesia	1990					
AF529047			Bos taurus	Indonesia	1990					
AF529048				Australia	1998					
AF529049			Bos taurus	Indonesia	1990					
AF529050			Bos taurus	Indonesia	1990					
AF529051			Bos taurus	Indonesia	1991					
AF529052			Bos taurus	Australia	1994					
AF529053				Australia	1994					
AF529054				Australia	1995					
AF529055				Australia	1995					
AF529056				Australia	1995					
AF529057				Australia	1996					
AF529058				Australia	1998					
AF529059			Bos taurus	Indonesia	1990					
AF530066	9									
AF530067	2									
AJ277802	7			India						
AJ430057	2				2001			2		
AJ430058	2				2001			2		
AJ430059	2				2001			2		
AJ430060	2				2001			2		
AJ430061	2				2001			2		
AJ430062	2				2001			2		
AJ585111	2		Ovis aries	India	1992		3			
AJ585122	2		Ovis aries	South Africa	1958					
AJ585123	2		Ovis aries	South Africa	1959					
AJ585124	2		Ovis aries	South Africa	1943					
AJ585125	2		Ovis aries	South Africa	1969					
AJ585126	2		Ovis aries	South Africa	1953					
AJ585127	2		Ovis aries	South Africa	1958	JUN	25			
AJ585128	2		Ovis aries	South Africa	1955					
AJ585129	2		Ovis aries	South Africa	1937					
AJ585130	2		Ovis aries	South Africa	1942					
AJ585131	2		Ovis aries	South Africa	1956					
AJ585132	2		Ovis aries	South Africa	1944					
AJ585133	2		Ovis aries	South Africa	1941					
AJ585134	2		Ovis aries	South Africa	1959					
AJ585135	2		Ovis aries	South Africa	1959					
AJ585136	2		Bos taurus	South Africa	1960					
AJ585137	2		Ovis aries	South Africa	1960					
AJ585138	2			South Africa	1979					
AJ585139	2		Ovis aries	South Africa	1976					
AJ585140	2		Ovis aries	South Africa	1976					
AJ585141	2		Culicoides sp.	South Africa	1975					
AJ585142	2		Bos taurus	South Africa	1979					
AJ585143	2		Culicoides sp.	South Africa	1992					
AJ585144	2		Bos taurus	South Africa	1987					
AJ585145	2		Ovis aries	South Africa	1992					
AJ585150	2			Nigeria	1982	AUG	22			
AJ585179	2		Bos taurus	Zimbabwe	2002	AUG	10			
AJ585181	2			Cameroon	1982	OCT	26			
AJ585182	2			Nigeria	1982	AUG	29			
AJ585183	2			Kenya						
AJ585184	2			Nigeria	1982	DEC	2			
AJ585185	2			Kenya				12		
AJ585186	2			Cameroon	1982	JAN	14			
AJ585187	2			Nigeria	1982	AUG	8			
AJ585188	2			Indonesia	1991	JUL	10			
AJ585189	2		Ovis aries	India	1997	DEC				
AJ586656			Ovis aries		1958					
AJ586657					1982	AUG	19			
AJ586658					1987	APR	16			
AJ586659			Ovis aries		1992	MAR	3			
AJ586660					1992	NOV	3			
AJ586661					1988	SEP	24			
AJ586662			Ovis aries		1999	AUG				
AJ586663			Culicoides sp.		2001	FEB	19			
AJ586664			Ovis aries		2001	OCT	15			
AJ586665			Ovis aries		1958					
AJ586666					1985	JAN	15			
AJ586667					1982	SEP	5			
AJ586668					2000	FEB	3			
AJ586669			Culicoides sp.		2002	AUG	6			
AJ586670			Culicoides sp.		2002	AUG	6			
AJ586671			Ovis aries		2002	JUL	18			
AJ586672			Ovis aries		2001	DEC	29			
AJ586673			Ovis aries		2001	DEC	29			
AJ586674			Ovis aries		2001	SEP	12			
AJ586675					1982	MAR	26			
AJ586676					2002	APR				
AJ586677			Bos taurus		1983	OCT	11			
AJ586678			Bos taurus		1969					
AJ586679					1978	AUG				
AJ586680										
AJ586681			Ovis aries		1999					
AJ586682			Bos taurus		2002	FEB	21			
AJ586683										
AJ586684					2000					
AJ586685					2000					
AJ586686					2000					
AJ586687			Ovis aries		2002	AUG	14			
AJ586688			Ovis aries		2001	OCT	7			
AJ586689			Ovis aries		1960					
AJ586690					1991	AUG	1			
AJ586691					2000					
AJ586692					2000					
AJ586693					2000					
AJ586694					1982	AUG	22			
AJ586695			Ovis aries		1958					
AJ586696			Ovis aries		1959					
AJ586697			Ovis aries		1943					
AJ586698			Bos taurus		2002	AUG	10			
AJ586699			Ovis aries		1969					
AJ586700			Ovis aries		1953					
AJ586701					1982	OCT	26			
AJ586702					1982	AUG	29			
AJ586703			Ovis aries		1958	JUN	25			
AJ586704			Ovis aries		1955					
AJ586705			Ovis aries		1937					
AJ586706					1982	DEC	2			
AJ586707										
AJ586708			Ovis aries		1942					
AJ586709			Ovis aries		1956					
AJ586710			Ovis aries		1944					
AJ586711			Ovis aries		1941					
AJ586712										
AJ586713			Ovis aries		1959					
AJ586714			Ovis aries		1959					
AJ586715					1982	JAN	14			
AJ586716			Bos taurus		1960					
AJ586717			Culicoides sp.		2003					
AJ586718			Culicoides sp.		2003					
AJ586719			Ovis aries		1960					
AJ586720					1979					
AJ586721			Ovis aries		1976					
AJ586722			Ovis aries		1976					
AJ586723			Culicoides sp.		1975					
AJ586724			Bos taurus		1979					
AJ586725			Culicoides sp.		1992					
AJ586726					1982	AUG	8			
AJ586727			Bos taurus		1987					
AJ586728			Ovis aries		1997	DEC				
AJ586729					1991	JUL	10			
AJ586730			Ovis aries		1992					
AJ631214		AUS1981/01 			1981	OCT	7			
AJ631215		ITL2003/01			2003	APR	2			
AJ631216		IND1998/01			1998					
AJ631217		IND1988/02			1988					
AJ783902					2003					
AJ783903					2003					
AJ783904					2003					
AJ783905					2003					
AJ783906					2003					
AJ783907					1988					
AJ783908					2003	NOV	17			
AJ783909					2003	NOV	17			
AJ783910					2003	NOV	17			
AJ783911					2003	NOV	17			
AM261975	7			India						
AM261976	7			India				1		
AM261977	7			India						
AM261978	7			India						
AM261979	7			India						
AM261980	7			India						
AM261981	7			India						
AM498051		NET2006/04				AUG		8		
AM498052		NET2006/04				AUG		8		
AM498053		NET2006/04				AUG		8		
AM498054		NET2006/04				AUG		8		
AM498055		NET2006/04				AUG		8		
AM498056		NET2006/04				AUG		8		
AM498057		NET2006/04				AUG		8		
AM498058		NET2006/04				AUG		8		
AM498059		NET2006/04				AUG		8		
AM498060		NET2006/04				AUG		8		
AM773683		RSArrrr/02	Ovis aries		1959					
AM773684		RSAvvvv/02	Ovis aries		1958					
AM773685		SPA2005/01	Bos taurus		2005	JUL	11			
AM773686		FRA2001/03	Ovis aries		2001	SEP	12			
AM773687		ITL2002/01	Culicoides sp.		2002	JUL	18			
AM773688		ITL2002/07	Ovis aries		2002	JUL	18			
AM773689		TUN2000/01			2000	FEB	3			
AM773690		SAD2001/02	Ovis aries		2001	DEC	12			
AM773691		RSArrrr/16	Ovis aries		1960					
AM773692		SAD2004/03	Ovis aries		2004	JUL	28			
AM773693		SAD2004/04	Ovis aries		2004	JUL	23			
AM773694		GRE1999/13	Ovis aries		1999	AUG	19			
AM773695		ISR2001/18	Ovis aries		2001	FEB	27			
AM773696		TUR2000/10			2000					
AM773697		SPA2005/01	Bos taurus		2005	JUL	11			
AM773698		ITL2002/01	Culicoides sp.		2002	JUL	18			
AM773699		SAD2004/03	Ovis aries		2004	JUL	28			
AM773700		SAD2004/04	Ovis aries		2004	JUL	23			
AM773701		ISR2001/18	Ovis aries		2001	FEB	27			
AM773702		GRE1999/13	Ovis aries		1999	AUG	19			
AM773703	6		Ovis aries	Greece	1999	AUG	19	16		
AM773704	6		Ovis aries	Israel	2001	FEB	27	16		
AM773705	5		Ovis aries	South Africa	1959			2		
AM773706	5		Ovis aries	Italy	2001	DEC	12	2		
AM773707	5		Ovis aries	South Africa	1960			16		
AM773708			Culicoides sp.	Italy	2002	JUL	18	2		
AM773709			Ovis aries	Greece	1999	AUG	19	16		
AM773710			Ovis aries	Israel	2001	FEB	27	16		
AM778437			Ovis aries	South Africa	1958					
AM778438			Ovis aries	Greece	2001	OCT	15			
AM778439			Ovis aries	South Africa	1900					
AM778440			Ovis aries	Greece	1999	AUG	13			
AM778441			Bos taurus	Spain	2005	AUG	10			
AM778442				South Africa						
AM778443			Ovis aries	Bosnia and Herzegovina	2002	AUG	14			
AM778444				Bulgaria	1999	SEP	29			
AM778445				Turkey	2000					
AM900372		GRE2000/01	Ovis aries					4		
AM900373		TUR1978/01				AUG		4		
